,,exchange,pair,price,rank,updated,volume_24h,volume_percent
Bitcoin Markets,257,Sistemkoin,BTC/TRY,7929.78,258,Recently,2977270,0.05
Bitcoin Markets,258,EXX,BTM/BTC,8459.18,259,Recently,2967480,0.05
Bitcoin Markets,259,Bibox,BTM/BTC,8200.69,260,Recently,2949750,0.05
Bitcoin Markets,260,Lbank,NEO/BTC,8012.85,261,Recently,2917190,0.05
Bitcoin Markets,261,GDAX,ETH/BTC,8047.46,262,Recently,2916460,0.05
Bitcoin Markets,262,Huobi,STORJ/BTC,8023.85,263,Recently,2898430,0.05
Bitcoin Markets,263,Bitfinex,LTC/BTC,8045.32,264,Recently,2885640,0.05
Bitcoin Markets,264,Foxbit,BTC/BRL,8115.79,265,Recently,2864940,0.05
Bitcoin Markets,265,Exmo,ETH/BTC,8057.4,266,Recently,2853940,0.05
Bitcoin Markets,266,Bitfinex,XRP/BTC,8045.65,267,Recently,2823750,0.05
Bitcoin Markets,267,Huobi,MDS/BTC,8031.36,268,Recently,2821980,0.05
Bitcoin Markets,268,Bitinka,BTC/USD,8110.59,269,Recently,2800710,0.05
Bitcoin Markets,269,WEX,LTC/BTC,8066.62,270,Recently,2765620,0.05
Bitcoin Markets,270,Binance,TNB/BTC,8022.73,271,Recently,2765020,0.05
Bitcoin Markets,271,WEX,ETH/BTC,8039.84,272,Recently,2734410,0.05
Bitcoin Markets,272,Bibox,BTC/DAI,8075.5,273,Recently,2729520,0.05
Bitcoin Markets,273,Liqui,ENJ/BTC,8038.48,274,Recently,2727080,0.05
Bitcoin Markets,274,Bittrex,LSK/BTC,8046.72,275,Recently,2718410,0.05
Bitcoin Markets,275,Binance,BTS/BTC,8051.61,276,Recently,2715410,0.05
Bitcoin Markets,276,OOOBTC,AE/BTC,8101.5,277,Recently,2699090,0.05
Bitcoin Markets,277,Binance,SNGLS/BTC,8047.94,278,Recently,2691560,0.05
Bitcoin Markets,278,CoinEgg,XRP/BTC,7892.16,279,496 hours ago,2687430,0.0
Bitcoin Markets,279,Binance,RCN/BTC,8008.66,280,Recently,2684710,0.05
Bitcoin Markets,280,Kraken,ETH/BTC,8058.94,281,Recently,2672680,0.05
Bitcoin Markets,281,OKEx,REN/BTC,8019.54,282,Recently,2670670,0.05
Bitcoin Markets,282,OKEx,THETA/BTC,8029.15,283,Recently,2649290,0.05
Bitcoin Markets,283,HitBTC,NOAH/BTC,8054.11,284,Recently,2647910,0.05
Bitcoin Markets,284,Upbit,XDN/BTC,8171.36,285,Recently,2638180,0.05
Bitcoin Markets,285,Bit-Z,MCO/BTC,8009.47,286,Recently,2626500,0.05
Bitcoin Markets,286,Huobi,NAS/BTC,8102.67,287,Recently,2625080,0.05
Bitcoin Markets,287,Kucoin,PURA/BTC,8032.81,288,Recently,2592370,0.05
Bitcoin Markets,288,IDAX,STORJ/BTC,8031.26,289,Recently,2591260,0.05
Bitcoin Markets,289,Bibox,HPB/BTC,8053.23,290,Recently,2587220,0.05
Bitcoin Markets,290,Huobi,SNT/BTC,8035.75,291,Recently,2580010,0.05
Bitcoin Markets,291,CoinExchange,NANJ/BTC,8043.98,292,Recently,2559360,0.05
Bitcoin Markets,292,Poloniex,LTC/BTC,8036.93,293,Recently,2523970,0.05
Bitcoin Markets,293,CoinEgg,BCH/BTC,7865.15,294,496 hours ago,2512340,0.0
Bitcoin Markets,294,C2CX,BTC/USDT,8022.87,295,Recently,2497370,0.05
Bitcoin Markets,295,Bit-Z,ZEC/BTC,8121.04,296,Recently,2483230,0.05
Bitcoin Markets,296,Huobi,RUFF/BTC,8065.9,297,Recently,2477910,0.05
Bitcoin Markets,297,Binance,WINGS/BTC,7972.49,298,Recently,2459940,0.04
Bitcoin Markets,298,CoinEgg,RUFF/BTC,8300.14,299,496 hours ago,2448690,0.0
Bitcoin Markets,299,Zebpay,BTC/INR,7767.17,300,Recently,2434430,0.04
Bitcoin Markets,300,Kraken,XLM/BTC,8037.5,301,Recently,2414800,0.04
Bitcoin Markets,301,IDAX,AE/BTC,8013.91,302,Recently,2396690,0.04
Bitcoin Markets,302,WEX,BTC/RUR,7616.44,303,Recently,2376940,0.04
Bitcoin Markets,303,Coinhub,LTC/BTC,8031.01,304,Recently,2357390,0.04
Bitcoin Markets,304,BtcTrade.im,ETH/BTC,8077.66,305,Recently,2353710,0.04
Bitcoin Markets,305,Bittrex,RDD/BTC,7965.86,306,Recently,2350230,0.04
Bitcoin Markets,306,Huobi,GNT/BTC,8051.15,307,Recently,2345380,0.04
Bitcoin Markets,307,Huobi,THETA/BTC,8037.42,308,Recently,2343430,0.04
Bitcoin Markets,308,Lbank,DASH/BTC,7989.17,309,Recently,2323480,0.04
Bitcoin Markets,309,Huobi,MTL/BTC,7999.62,310,Recently,2301340,0.04
